R5609	Br1947
BM_10_712	71801
hB_RNA_13039	71733
BM_10_579	71882
hB_RNA_9045	71802
BM_36_347	70696
BM_36_281	71996
BM_36_307	71899
BM_22_234	71716
hB_RNA_7695	71709
BM_22_90	71690
hB_RNA_10832	71825
hB_RNA_8715	71827
hB_RNA_9221	71814
BM_22_86	71718
hB_RNA_9231	68420
BM_22_138	71831
hB_RNA_13266	70640
BM_36_492	71710
BM_10_584	71960
BM_22_152	71887
BM_36_358	71961
BM_22_65	71954
BM_10_809	71883
BM_36_464	71920
BM_36_406	71938
BM_10_573	71767
hB_RNA_12262	71814
hB_RNA_12362	71907
hB_RNA_8955	71993
BM_36_485	71951
hB_RNA_12664	71714
hB_RNA_16255	71893
BM_36_486	70672
hB_RNA_12181	68658
hB_RNA_4581	71805
BM_36_1107	71883
BM_10_709	71749
hB_RNA_13458	71907
hB_RNA_10742	71714
BM_36_379	71991
hB_RNA_16725	71910
hB_RNA_9148	71747
BM_36_423	71735
BM_36_326	71963
BM_10_759	71760
BM_36_335	71926
hB_RNA_12191	71979
hB_RNA_13081	71709
BM_22_189	71847
BM_36_448	71929
BM_22_40	71726
BM_10_744	71868
hB_RNA_8995	71895
BM_22_159	70672
BM_36_482	71729
hB_RNA_9074	70659
BM_10_810	71738
BM_36_487	68411
BM_36_430	71886
hB_RNA_16045	71875
hB_RNA_13465	71838
hB_RNA_4474	71764
hB_RNA_16855	71933
hB_RNA_13193	71984
hB_RNA_9203	71980
BM_10_813	71969
BM_10_548	71715
hB_RNA_8375	71685
hB_RNA_7955	71931
hB_RNA_16305	71722
hB_RNA_12954	71936
hB_RNA_8425	71721
hB_RNA_16405	71723
hB_RNA_10552	71986
hB_RNA_7865	68422
hB_RNA_9217	71805
BM_22_112	71719
hB_RNA_9160	71991
BM_22_67	71832
BM_22_238	71677
hB_RNA_8705	71859
hB_RNA_13068	71804
BM_22_36	71702
hB_RNA_13107	71941
hB_RNA_12693	71934
hB_RNA_13518	71853
hB_RNA_13406	71791
BM_22_258	71787
BM_10_546	71718
hB_RNA_5141	71991
hB_RNA_10532	68637
hB_RNA_12484	71859
hB_RNA_12887	71906
BM_36_373	68425
BM_36_493	71801
BM_36_521	68435
hB_RNA_16385	71762
BM_36_363	71719
hB_RNA_8865	71795
hB_RNA_10522	71725
hB_RNA_4651	71819
hB_RNA_9186	71692
BM_22_150	71750
BM_36_398	68682
hB_RNA_17105	70485
hB_RNA_12474	71979
BM_36_541	71880
hB_RNA_13571	71740
BM_10_610	71851
BM_10_730	71739
BM_10_675	71910
hB_RNA_16955	71691
BM_10_615	71830
hB_RNA_17045	70696
hB_RNA_16425	71987
hB_RNA_9194	70609
BM_10_756	70460
BM_22_183	71735
BM_10_664	71839
BM_10_681	68427
hB_RNA_8395	71712
BM_36_322	71940
hB_RNA_9015	71793
BM_10_773	70485
BM_36_471	71937
BM_22_203	71846
BM_36_544	71832
BM_10_593	71831
BM_10_710	71697
BM_22_44	71919
hB_RNA_16885	71765
BM_10_716	71746
hB_RNA_7945	71720
hB_RNA_4601	71810
hB_RNA_13276	71806
hB_RNA_8575	71871
BM_10_651	71884
hB_RNA_8595	71984
BM_22_174	71928
BM_36_528	71954
hB_RNA_8825	71789
BM_10_776	71730
BM_10_717	71988
hB_RNA_17075	71870
hB_RNA_9169	71775
hB_RNA_4905	71907
BM_10_751	71742
hB_RNA_10892	71736
BM_10_782	71890
hB_RNA_13557	71719
hB_RNA_5111	71695
hB_RNA_8735	71901
BM_10_657	71981
BM_36_298	71942
hB_RNA_4331	71719
hB_RNA_13262	71695
BM_10_678	70490
BM_36_527	68424
BM_36_362	71691
BM_10_616	71933
hB_RNA_16015	71769
hB_RNA_8045	71826
hB_RNA_7805	71712
hB_RNA_16715	71954
BM_22_91	71760
hB_RNA_10842	71693
BM_22_53	71715
BM_22_177	71762
BM_10_639	68435
BM_22_114	71975
BM_10_780	70635
BM_10_605	70568
BM_36_419	71716
BM_36_338	76655
BM_36_299	71739
BM_10_682	71847
hB_RNA_13649	71860
hB_RNA_10642	71827
BM_10_754	71755
BM_10_803	71950
hB_RNA_8565	71986
BM_36_422	71740
hB_RNA_8135	71901
hB_RNA_10583	71812
BM_10_713	71942
hB_RNA_12372	71862
BM_10_624	71923
BM_22_14	71908
BM_36_405	71924
BM_10_772	71750
BM_36_304	71677
hB_RNA_8535	71931
hB_RNA_9225	71973
hB_RNA_12382	71950
BM_36_328	71944
BM_36_499	71783
hB_RNA_16155	71801
BM_36_531	71976
BM_10_588	71867
hB_RNA_12924	71693
BM_22_92	70485
hB_RNA_8505	71934
BM_36_344	71877
hB_RNA_10632	71871
hB_RNA_13201	71989
BM_36_349	71675
hB_RNA_10902	71721
hB_RNA_10542	71833
BM_36_540	71756
hB_RNA_4981	71862
BM_10_649	68419
hB_RNA_16295	71742
hB_RNA_16555	68682
hB_RNA_16665	71904
BM_36_414	70635
hB_RNA_16235	71738
BM_22_154	71945
BM_10_596	71870
hB_RNA_8335	71958
hB_RNA_9174	71878
hB_RNA_8185	71752
hB_RNA_13599	71940
hB_RNA_10972	71701
BM_10_697	71961
BM_36_516	71882
BM_10_658	71778
hB_RNA_16265	71689
hB_RNA_8405	71906
hB_RNA_9154	68420
hB_RNA_11122	71959
BM_10_617	70672
BM_22_1111	71961
hB_RNA_9159	68455
hB_RNA_16225	71848
BM_22_275	71842
hB_RNA_12606	70659
hB_RNA_16935	68431
hB_RNA_16205	68433
BM_10_621	71877
hB_RNA_10662	71811
hB_RNA_8975	71922
BM_10_645	71977
hB_RNA_9213	71688
hB_RNA_7795	71825
hB_RNA_8785	71979
BM_10_562	68522
hB_RNA_7675	71693
hB_RNA_10362	71712
hB_RNA_13665	71756
BM_10_604	71850
BM_36_354	68420
hB_RNA_9230	71969
BM_22_61	71893
BM_10_686	68430
hB_RNA_4461	71763
BM_22_120	71697
hB_RNA_17135	71726
BM_22_158	71942
hB_RNA_8305	71978
BM_10_663	71836
hB_RNA_16475	71760
hB_RNA_13547	71784
hB_RNA_12917	71720
BM_36_435	71960
BM_10_634	71797
BM_10_602	71926
hB_RNA_13684	71862
hB_RNA_12272	71973
hB_RNA_10932	68515
BM_10_656	68420
BM_22_222	71976
hB_RNA_13289	71815
hB_RNA_16495	71767
BM_22_163	68430
BM_36_375	68431
BM_10_812	71896
BM_10_659	68428
BM_22_270	71890
BM_22_262	71848
BM_10_725	71909
BM_36_394	71760
hB_RNA_10942	71727
hB_RNA_13144	71881
hB_RNA_16445	71750
hB_RNA_17015	71891
hB_RNA_10852	68434
BM_36_356	71967
hB_RNA_13500	71807
BM_36_518	71971
BM_10_647	71706
hB_RNA_9141	71807
BM_36_491	71779
BM_10_698	71994
BM_10_702	71964
hB_RNA_10472	71794
BM_36_302	71808
BM_10_660	71992
hB_RNA_4611	71813
hB_RNA_13174	71795
BM_10_590	71717
BM_36_286	71981
hB_RNA_13444	71852
hB_RNA_9158	70524
hB_RNA_8625	71898
BM_22_195	71992
hB_RNA_4321	71717
BM_10_648	71704
hB_RNA_8465	71825
BM_10_644	71924
hB_RNA_12282	71972
BM_10_699	71980
BM_22_151	71996
hB_RNA_13389	71955
hB_RNA_9224	71819
BM_10_768	71919
hB_RNA_13574	71819
BM_22_113	71868
BM_10_685	71991
hB_RNA_12724	71952
hB_RNA_4697	71688
hB_RNA_9227	71964
hB_RNA_7785	71903
hB_RNA_9209	71824
BM_36_367	71928
BM_10_718	71968
hB_RNA_12720	71898
BM_36_369	71810
BM_10_611	71808
hB_RNA_8795	71941
BM_22_135	71767
hB_RNA_16035	71832
BM_10_629	70475
hB_RNA_13007	71947
hB_RNA_16175	71919
hB_RNA_8215	71812
hB_RNA_4701	70490
BM_36_412	71887
BM_36_314	71726
BM_36_517	71876
hB_RNA_9208	71802
hB_RNA_17065	70475
hB_RNA_10762	71733
BM_10_571	71673
BM_10_609	71832
hB_RNA_8315	71711
BM_10_736	71691
BM_36_371	71689
hB_RNA_9162	71706
BM_10_740	71887
hB_RNA_4442	71756
BM_10_597	71846
BM_10_755	71765
BM_22_80	71938
hB_RNA_7705	71685
BM_36_339	71919
BM_22_115	70665
hB_RNA_9210	71828
hB_RNA_10782	71816
hB_RNA_7685	71701
BM_36_384	71824
hB_RNA_8445	71771
BM_10_683	68425
BM_36_382	71838
hB_RNA_4389	71747
hB_RNA_7715	71995
hB_RNA_13086	71793
BM_36_509	71839
BM_36_466	71863
BM_36_502	71830
hB_RNA_4361	71730
hB_RNA_10692	71752
BM_10_561	71753
hB_RNA_8175	71724
hB_RNA_9172	71791
BM_10_654	70609
hB_RNA_7735	70659
BM_22_160	70696
hB_RNA_8225	71922
hB_RNA_8265	71865
BM_10_711	71800
hB_RNA_16705	71908
hB_RNA_13631	71768
BM_10_679	71944
hB_RNA_8155	71793
hB_RNA_16645	71718
BM_36_383	71805
hB_RNA_12901	71978
hB_RNA_16695	71868
hB_RNA_4591	71806
BM_10_691	70524
BM_10_766	71880
hB_RNA_9164	71763
hB_RNA_11092	70659
BM_22_132	71745
hB_RNA_16995	71792
BM_22_196	68425
BM_22_130	71753
hB_RNA_16755	71951
BM_10_749	71975
hB_RNA_10492	71979
hB_RNA_12402	71749
hB_RNA_16945	71944
BM_22_133	71803
hB_RNA_16355	71690
hB_RNA_8765	71952
BM_10_786	71684
BM_10_569	71787
BM_10_808	71963
hB_RNA_9156	71972
hB_RNA_9168	71773
hB_RNA_5151	71704
BM_36_395	71968
BM_22_69	71850
BM_36_397	71908
hB_RNA_16415	71842
BM_10_791	71876
BM_22_139	71987
hB_RNA_9215	71841
hB_RNA_9177	71883
hB_RNA_9163	70460
hB_RNA_8095	71727
hB_RNA_10862	71709
hB_RNA_16865	71927
BM_36_539	71767
hB_RNA_10302	71794
BM_10_778	71971
BM_10_689	68454
hB_RNA_13589	71856
hB_RNA_8645	71709
hB_RNA_13677	71764
BM_22_134	71782
hB_RNA_9218	71806
hB_RNA_10922	71956
hB_RNA_4746	71858
BM_36_290	71945
hB_RNA_8725	71816
BM_10_811	71917
hB_RNA_12762	71751
hB_RNA_8665	71701
BM_22_173	71870
hB_RNA_4573	71800
BM_36_437	71717
BM_10_594	71732
BM_10_672	71708
BM_10_743	71855
BM_36_515	71870
BM_22_100	71910
hB_RNA_12704	71780
hB_RNA_17025	71808
hB_RNA_16595	71976
hB_RNA_10622	71978
hB_RNA_9179	71684
BM_36_393	71741
BM_22_22	71967
hB_RNA_9205	71964
hB_RNA_12859	71721
BM_22_136	68428
hB_RNA_11112	71789
hB_RNA_10722	71974
BM_10_652	71686
hB_RNA_16635	71745
hB_RNA_16575	71970
hB_RNA_13228	71713
BM_36_320	71718
BM_10_739	71875
hB_RNA_12444	71865
hB_RNA_8365	71939
BM_10_591	71893
hB_RNA_13032	68637
hB_RNA_5161	71706
hB_RNA_8775	71811
hB_RNA_11052	71912
BM_36_525	71884
BM_22_62	71911
BM_22_119	71769
hB_RNA_12433	71701
BM_22_74	71801
hB_RNA_7775	71930
hB_RNA_11102	71857
BM_36_291	71965
hB_RNA_17125	71876
BM_36_345	70539
BM_36_390	71705
hB_RNA_13640	71692
hB_RNA_8285	71725
BM_36_361	71904
hB_RNA_4521	71778
hB_RNA_4663	71828
BM_22_75	71836
hB_RNA_12454	71770
BM_10_693	68433
hB_RNA_16845	70665
hB_RNA_12232	71989
hB_RNA_17055	71886
BM_22_229	70475
BM_36_403	71896
BM_36_411	71890
hB_RNA_11152	71983
hB_RNA_12464	71712
hB_RNA_9145	71917
BM_10_771	71911
hB_RNA_10442	71804
hB_RNA_16125	71783
hB_RNA_9204	71963
BM_22_157	71722
hB_RNA_9152	71749
hB_RNA_16345	68430
hB_RNA_5041	71980
hB_RNA_9143	71940
hB_RNA_9105	71755
hB_RNA_17145	68522
hB_RNA_10242	71816
hB_RNA_9171	71784
BM_10_798	71782
hB_RNA_11142	68422
hB_RNA_9222	71815
hB_RNA_4546	71791
hB_RNA_10872	71751
BM_22_170	71926
hB_RNA_16485	71757
BM_22_95	71764
BM_22_123	71876
hB_RNA_11072	71995
BM_36_495	71828
BM_22_41	71742
hB_RNA_7855	71983
hB_RNA_8255	68515
BM_22_243	71927
BM_10_715	71728
hB_RNA_16545	71994
hB_RNA_16745	71960
hB_RNA_12555	71711
BM_10_701	71967
hB_RNA_16335	71981
BM_36_458	71927
hB_RNA_17115	71830
hB_RNA_16025	71896
hB_RNA_16625	71737
BM_36_408	71970
hB_RNA_9173	70614
hB_RNA_13216	71724
hB_RNA_12342	71773
BM_22_267	71875
hB_RNA_8495	71720
BM_36_472	71831
hB_RNA_9220	71813
hB_RNA_9211	71834
hB_RNA_9115	68434
hB_RNA_10882	71936
BM_10_729	71729
hB_RNA_16505	71967
BM_10_793	71863
BM_22_198	68454
BM_10_703	71954
hB_RNA_4520	71775
hB_RNA_9207	70579
BM_22_25	71965
hB_RNA_8085	71736
hB_RNA_16075	71992
hB_RNA_12838	68434
hB_RNA_12201	71918
BM_36_377	68430
BM_36_413	71891
hB_RNA_13359	71741
hB_RNA_16095	68435
hB_RNA_10392	71895
BM_22_272	71971
hB_RNA_9216	71800
BM_36_418	71753
BM_22_96	71738
BM_22_125	68424
hB_RNA_16315	71996
BM_36_374	71847
hB_RNA_9035	71833
BM_10_722	68411
hB_RNA_16165	71746
hB_RNA_7815	71974
BM_36_510	71695
BM_36_305	71851
hB_RNA_8845	71918
hB_RNA_9142	71923
hB_RNA_12211	71833
hB_RNA_16565	70672
hB_RNA_9072	71725
BM_36_520	71975
BM_22_167	71765
hB_RNA_4312	71885
hB_RNA_8105	71721
BM_10_566	71886
hB_RNA_9161	71704
hB_RNA_8125	71871
BM_36_312	71850
BM_36_352	70665
BM_10_676	70579
BM_36_341	71867
BM_10_705	71970
hB_RNA_16585	71968
BM_10_549	71899
hB_RNA_8415	71912
hB_RNA_10252	71898
BM_36_282	68433
BM_22_38	71699
hB_RNA_11042	71685
BM_36_455	71848
BM_36_365	71723
hB_RNA_16535	71977
BM_22_64	68522
BM_10_767	71802
BM_22_156	71899
BM_22_57	71708
hB_RNA_9198	71988
hB_RNA_10232	71804
hB_RNA_8295	71881
BM_10_746	71987
BM_10_677	71674
BM_10_671	68424
BM_10_806	71900
hB_RNA_12532	71871
hB_RNA_16005	68425
hB_RNA_7885	71934
BM_36_350	71842
hB_RNA_4831	71883
hB_RNA_12252	71806
hB_RNA_12794	68622
hB_RNA_11132	71930
hB_RNA_13210	71827
hB_RNA_10412	71859
BM_10_790	71965
hB_RNA_12536	71993
hB_RNA_4429	71749
hB_RNA_12638	71995
hB_RNA_4501	71773
hB_RNA_16675	71938
BM_10_576	71891
hB_RNA_10262	71986
hB_RNA_8985	71693
BM_22_2	71851
BM_10_650	71972
hB_RNA_16805	71782
BM_22_181	71994
hB_RNA_4731	71856
hB_RNA_16285	71846
hB_RNA_12734	71895
BM_22_32	71799
BM_36_368	71792
hB_RNA_4456	70460
BM_36_388	68522
BM_10_764	71763
BM_10_582	71677
BM_10_752	71710
BM_10_631	71928
hB_RNA_7895	71956
BM_36_278	68454
hB_RNA_4341	70539
hB_RNA_10912	71771
hB_RNA_9175	71879
BM_10_619	71762
BM_36_490	71762
BM_36_428	71875
BM_36_441	71730
hB_RNA_12986	71736
hB_RNA_9219	71810
BM_10_750	70696
hB_RNA_8835	68658
hB_RNA_4688	71838
hB_RNA_11082	71941
BM_10_706	71973
hB_RNA_8685	71947
BM_22_131	71673
BM_36_366	71764
hB_RNA_8655	71974
hB_RNA_7825	71959
BM_22_144	71904
hB_RNA_12944	71752
BM_22_63	71885
BM_36_351	71980
hB_RNA_8895	71857
hB_RNA_11062	71993
hB_RNA_16215	68428
BM_36_476	71738
BM_22_211	71937
BM_22_94	71728
BM_22_137	68435
hB_RNA_16875	71975
hB_RNA_17005	71926
SRR5589351	0_UMARY-72_UMARY-72
SRR5605678	0_UMARY-1322_UMARY-1322
SRR5589232	0_UMARY_1909
SRR5589148	0_UMARY_1496
SRR5588944	0_SH-95-21_SH-95-21
SRR5589306	0_UMARY_5028
SRR5605690	0_UMARY-1464_UMARY-1464
SRR5589199	0_UMARY-1823_UMARY-1823
SRR5589218	0_UMARY_1862
SRR5605720	0_UMARY-5114_UMARY-5114
SRR5589259	0_UMARY_4593
SRR5588922	0_SH-07-73_SH-07-73
SRR5589177	0_UMARY-164_UMARY-164
SRR5588913	0_SH-07-04_SH-07-04
SRR5589325	0_UMARY-5119_UMARY-5119
SRR5605718	0_UMARY-5089_UMARY-5089
SRR5589104	0_UMARY-1259_UMARY-1259
SRR5589123	0_UMARY-1378_UMARY-1378
SRR5589157	0_UMARY-1543_UMARY-1543
SRR5605682	0_UMARY-1379_UMARY-1379
SRR5589118	0_UMARY-1362_UMARY-1362
SRR5588930	0_SH-92-05_SH-92-05
SRR5605706	0_UMARY-26_UMARY-26
SRR5589089	0_UMARY-1135_UMARY-1135
SRR5589340	0_UMARY_604
SRR5589178	0_UMARY_1652
SRR5589160	0_UMARY_1544
SRR5588903	0_SH-05-36_SH-05-36
SRR5589269	0_UMARY-4669_UMARY-4669
SRR5589171	0_UMARY_1584
SRR5589310	0_UMARY_5079
SRR5589326	0_UMARY-5120_UMARY-5120
SRR5589256	0_UMARY-455_UMARY-455
SRR5589207	0_UMARY-1845_UMARY-1845
SRR5589280	0_UMARY_4729
SRR5589270	0_UMARY-4724_UMARY-4724
SRR5589324	0_UMARY-5117_UMARY-5117
SRR5588890	0_SH-02-08_SH-02-08
SRR5589333	0_UMARY-5179_UMARY-5179
SRR5588896	0_SH-04-08_SH-04-08
SRR5589309	0_UMARY_5078
SRR5589247	0_UMARY_4263
SRR5589267	0_UMARY-4669_UMARY-4669
SRR5589215	0_UMARY-1859_UMARY-1859
SRR5588965	0_SH-97-53_SH-97-53
SRR5588882	0_SH-00-34_SH-00-34
SRR5589167	0_UMARY_1570
SRR5588908	0_SH-06-25_SH-06-25
SRR5605701	0_UMARY-1845_UMARY-1845
SRR5589248	0_UMARY_4263
SRR5589210	0_UMARY_1847
SRR5589092	0_UMARY_1136
SRR5589073	0_UMARY_1079
SRR5589258	0_UMARY_4593
SRR5588923	0_SH-08-04_SH-08-04
SRR5605685	0_UMARY-1428_UMARY-1428
SRR5589239	0_UMARY-260_UMARY-260
SRR5589146	0_UMARY_1486
SRR5605712	0_UMARY_4598
SRR5589223	0_UMARY_1866
SRR5589287	0_UMARY_4786
SRR5589064	0_UMARY-1013_UMARY-1013
SRR5589124	0_UMARY-1378_UMARY-1378
SRR5588892	0_SH-03-17_SH-03-17
SRR5588945	0_SH-95-21_SH-95-21
SRR5589099	0_UMARY_1206
SRR5588966	0_SH-97-53_SH-97-53
SRR5588978	0_SH-99-31_SH-99-31
SRR5605686	0_UMARY-1429_UMARY-1429
SRR5588926	0_SH-08-23_SH-08-23
SRR5588967	0_SH-98-19_SH-98-19
SRR5589075	0_UMARY_1079
SRR5605684	0_UMARY-1410_UMARY-1410
SRR5589312	0_UMARY_5086
SRR5589277	0_UMARY-4728_UMARY-4728
SRR5588927	0_SH-08-44_SH-08-44
SRR5589096	0_UMARY_1158
SRR5589243	0_UMARY-288_UMARY-288
SRR5589184	0_UMARY-1672_UMARY-1672
SRR5605700	0_UMARY-1841_UMARY-1841
SRR5588947	0_SH-95-34_SH-95-34
SRR5589349	0_UMARY-671_UMARY-671
SRR5588911	0_SH-06-66_SH-06-66
SRR5589268	0_UMARY-4669_UMARY-4669
SRR5589084	0_UMARY_1114
SRR5589227	0_UMARY_1903
SRR5589228	0_UMARY_1907
SRR5589156	0_UMARY_1541
SRR5589212	0_UMARY_1849
SRR5589290	0_UMARY_4842
SRR5588979	0_SH-99-44_SH-99-44
SRR5605732	0_UMARY-818_UMARY-818
SRR5589149	0_UMARY_1498
SRR5605698	0_UMARY-1823_UMARY-1823
SRR5588907	0_SH-06-05_SH-06-05
SRR5589194	0_UMARY_1795
SRR5589362	0_UMARY_914
SRR5589188	0_UMARY_1713
SRR5588889	0_SH-02-08_SH-02-08
SRR5588943	0_SH-95-02_SH-95-02
SRR5589345	0_UMARY-634_UMARY-634
SRR5588976	0_SH-99-31_SH-99-31
SRR5605727	0_UMARY-630_UMARY-630
SRR5588929	0_SH-08-44_SH-08-44
SRR5588948	0_SH-96-08_SH-96-08
SRR5589091	0_UMARY_1136
SRR5605702	0_UMARY-1859_UMARY-1859
SRR5605710	0_UMARY-4546_UMARY-4546
SRR5589121	0_UMARY-1363_UMARY-1363
SRR5605673	0_UMARY-1101_UMARY-1101
SRR5589066	0_UMARY_1028
SRR5588961	0_SH-97-19_SH-97-19
SRR5588902	0_SH-05-16_SH-05-16
SRR5589293	0_UMARY_4903
SRR5589086	0_UMARY_1134
SRR5589334	0_UMARY-544_UMARY-544
SRR5588904	0_SH-05-36_SH-05-36
SRR5589271	0_UMARY-4724_UMARY-4724
SRR5589098	0_UMARY_1206
SRR5589122	0_UMARY-1363_UMARY-1363
SRR5589217	0_UMARY-1861_UMARY-1861
SRR5588914	0_SH-07-11_SH-07-11
SRR5589205	0_UMARY-1841_UMARY-1841
SRR5589316	0_UMARY_5087
SRR5589103	0_UMARY_1226
SRR5588953	0_SH-96-38_SH-96-38
SRR5589162	0_UMARY_1545
SRR5589189	0_UMARY-1743_UMARY-1743
SRR5589193	0_UMARY-1794_UMARY-1794
SRR5605715	0_UMARY-4906_UMARY-4906
SRR5589318	0_UMARY-5114_UMARY-5114
SRR5589135	0_UMARY-1455_UMARY-1455
SRR5589357	0_UMARY-818_UMARY-818
SRR5605694	0_UMARY-1672_UMARY-1672
SRR5589244	0_UMARY-288_UMARY-288
SRR5589071	0_UMARY_1078
SRR5605704	0_UMARY-257_UMARY-257
SRR5588964	0_SH-97-46_SH-97-46
SRR5589106	0_UMARY-1277_UMARY-1277
SRR5605696	0_UMARY-1743_UMARY-1743
SRR5588910	0_SH-06-25_SH-06-25
SRR5589250	0_UMARY_4540
SRR5589097	0_UMARY_1170
SRR5589150	0_UMARY_1498
SRR5589221	0_UMARY_1865
SRR5589337	0_UMARY-55_UMARY-55
SRR5589151	0_UMARY_1535
SRR5588901	0_SH-05-10_SH-05-10
SRR5589085	0_UMARY_1133
SRR5589274	0_UMARY_4726
SRR5589237	0_UMARY-260_UMARY-260
SRR5588949	0_SH-96-22_SH-96-22
SRR5588968	0_SH-98-23_SH-98-23
SRR5589166	0_UMARY_1570
SRR5588951	0_SH-96-32_SH-96-32
SRR5589272	0_UMARY_4725
SRR5588918	0_SH-07-37_SH-07-37
SRR5589107	0_UMARY-1277_UMARY-1277
SRR5605695	0_UMARY-1675_UMARY-1675
SRR5605680	0_UMARY-1362_UMARY-1362
SRR5589359	0_UMARY_871
SRR5589152	0_UMARY-1539_UMARY-1539
SRR5589313	0_UMARY_5086
SRR5589144	0_UMARY-1475_UMARY-1475
SRR5588963	0_SH-97-37_SH-97-37
SRR5589203	0_UMARY-1831_UMARY-1831
SRR5589083	0_UMARY_1114
SRR5605676	0_UMARY-1274_UMARY-1274
SRR5589131	0_UMARY-143_UMARY-143
SRR5589229	0_UMARY_1909
SRR5589133	0_UMARY-1442_UMARY-1442
SRR5589322	0_UMARY-5117_UMARY-5117
SRR5588920	0_SH-07-46_SH-07-46
SRR5589285	0_UMARY-4781_UMARY-4781
SRR5589361	0_UMARY_914
SRR5605721	0_UMARY-5117_UMARY-5117
SRR5605697	0_UMARY-1744_UMARY-1744
SRR5589220	0_UMARY_1862
SRR5589329	0_UMARY-5123_UMARY-5123
SRR5589278	0_UMARY_4729
SRR5589245	0_UMARY-288_UMARY-288
SRR5588956	0_SH-97-09_SH-97-09
SRR5589129	0_UMARY-1410_UMARY-1410
SRR5588942	0_SH-95-02_SH-95-02
SRR5605708	0_UMARY-305_UMARY-305
SRR5605714	0_UMARY-4781_UMARY-4781
SRR5589161	0_UMARY_1545
SRR5589347	0_UMARY-650_UMARY-650
SRR5589214	0_UMARY_1849
SRR5588959	0_SH-97-14_SH-97-14
SRR5605713	0_UMARY-4669_UMARY-4669
SRR5589175	0_UMARY_1612
SRR5589128	0_UMARY-1406_UMARY-1406
SRR5589185	0_UMARY-1675_UMARY-1675
SRR5605726	0_UMARY-544_UMARY-544
SRR5588885	0_SH-00-38_SH-00-38
SRR5589181	0_UMARY-165_UMARY-165
SRR5589224	0_UMARY_1902
SRR5588957	0_SH-97-09_SH-97-09
SRR5589298	0_UMARY_4915
SRR5588905	0_SH-06-05_SH-06-05
SRR5589213	0_UMARY_1849
SRR5589078	0_UMARY_1104
SRR5589132	0_UMARY-1442_UMARY-1442
SRR5589095	0_UMARY_1158
SRR5589225	0_UMARY_1903
SRR5589191	0_UMARY-1789_UMARY-1789
SRR5588886	0_SH-00-49_SH-00-49
SRR5589216	0_UMARY-1859_UMARY-1859
SRR5589120	0_UMARY-1363_UMARY-1363
SRR5589102	0_UMARY-1213_UMARY-1213
SRR5589276	0_UMARY_4727
SRR5589165	0_UMARY_1570
SRR5605677	0_UMARY-1277_UMARY-1277
SRR5589101	0_UMARY-1213_UMARY-1213
SRR5589093	0_UMARY_1136
SRR5605693	0_UMARY-165_UMARY-165
SRR5589113	0_UMARY-1322_UMARY-1322
SRR5605683	0_UMARY-1403_UMARY-1403
SRR5588954	0_SH-96-39_SH-96-39
SRR5589300	0_UMARY_4916
SRR5605687	0_UMARY-1441_UMARY-1441
SRR5605717	0_UMARY-5088_UMARY-5088
SRR5589077	0_UMARY-1101_UMARY-1101
SRR5589261	0_UMARY-4638_UMARY-4638
SRR5588921	0_SH-07-63_SH-07-63
SRR5588900	0_SH-04-21_SH-04-21
SRR5589125	0_UMARY-1379_UMARY-1379
SRR5589299	0_UMARY_4916
SRR5589142	0_UMARY_1465
SRR5589294	0_UMARY_4903
SRR5589204	0_UMARY-1841_UMARY-1841
SRR5589315	0_UMARY_5087
SRR5588928	0_SH-08-44_SH-08-44
SRR5589090	0_UMARY-1135_UMARY-1135
SRR5589226	0_UMARY_1903
SRR5589136	0_UMARY-1455_UMARY-1455
SRR5589281	0_UMARY-4735_UMARY-4735
SRR5589170	0_UMARY_1584
SRR5589143	0_UMARY-1475_UMARY-1475
SRR5589202	0_UMARY_1827
SRR5589336	0_UMARY-544_UMARY-544
SRR5589257	0_UMARY-4592_UMARY-4592
SRR5589147	0_UMARY_1496
SRR5589164	0_UMARY-1569_UMARY-1569
SRR5589192	0_UMARY_1792
SRR5588973	0_SH-99-29_SH-99-29
SRR5589080	0_UMARY_1104
SRR5588891	0_SH-03-15_SH-03-15
SRR5588970	0_SH-98-32_SH-98-32
SRR5588898	0_SH-04-19_SH-04-19
SRR5588888	0_SH-01-37_SH-01-37
SRR5589179	0_UMARY_1652
SRR5589110	0_UMARY-1322_UMARY-1322
SRR5589314	0_UMARY_5087
SRR5605730	0_UMARY-689_UMARY-689
SRR5589117	0_UMARY-1347_UMARY-1347
SRR5589231	0_UMARY_1909
SRR5589088	0_UMARY-1135_UMARY-1135
SRR5589344	0_UMARY-630_UMARY-630
SRR5589141	0_UMARY-1464_UMARY-1464
SRR5589067	0_UMARY_1064
SRR5589068	0_UMARY_1076
SRR5605668	0_MIAMI-2852_MIAMI-2852
SRR5588960	0_SH-97-14_SH-97-14
SRR5589209	0_UMARY-1845_UMARY-1845
SRR5589108	0_UMARY-1277_UMARY-1277
SRR5588975	0_SH-99-29_SH-99-29
SRR5588940	0_SH-95-02_SH-95-02
SRR5589332	0_UMARY-5179_UMARY-5179
SRR5589348	0_UMARY-671_UMARY-671
SRR5589249	0_UMARY_4263
SRR5589358	0_UMARY_819
SRR5589158	0_UMARY-1543_UMARY-1543
SRR5589230	0_UMARY_1909
SRR5589163	0_UMARY_1568
SRR5588955	0_SH-96-44_SH-96-44
SRR5589111	0_UMARY-1322_UMARY-1322
