R5609	Br1947
Br1644_R3944	Br1644
Br1676_R2962	Br1676
Br836_R3597	Br836
Br1167_R3469	Br1167
Br2298_R6533	Br2298
Br1678_R2901	Br1678
Br1706_R2996	Br1706
Br1735_R2999	Br1735
Br2411_R5808	Br2411
Br1604_R2912	Br1604
Br1974_R4072	Br1974
Br1753_R4236	Br1753
Br1340_R3931	Br1340
Br910_R3920	Br910
Br1868_R3558	Br1868
Br1591_R2886	Br1591
Br1800_R3709	Br1800
Br852_R4213	Br852
Br1191_R3444	Br1191
Br1665_R2825	Br1665
Br2091_R4334	Br2091
Br2186_R4373	Br2186
Br2200_R4289	Br2200
Br1447_R4242	Br1447
Br856_R3598	Br856
Br1250_R3887	Br1250
Br1961_R4251	Br1961
Br1271_R3455	Br1271
Br1987_R4048	Br1987
Br1356_R3385	Br1356
Br1674_R2826	Br1674
Br989_R3969	Br989
Br1648_R2840	5421787177_R01C01
Br1781_R3389	Br1781
Br1581_R3996	Br1581
Br1463_R3639	Br1463
Br2130_R4303	Br2130
Br1033_R3063	Br1033
Br2236_R4366	Br2236
Br2415_R5815	Br2415
Br1458_R3421	Br1458
Br909_R3429	Br909
Br957_R3657	Br957
Br1816_R3416	Br1816
Br2149_R4394	Br2149
Br2159_R4413	5421787243_R01C02
Br2229_R4353	Br2229
Br1848_R3915	Br1848
Br2410_R5807	Br2410
Br1455_R3588	Br1455
Br1497_R3607	Br1497
Br847_R3550	Br847
Br1880_R5871	Br1880
Br845_R4165	Br845
Br1579_R2885	Br1579
CMC_HBCC_RNA_PFC_3072	4256126122_A
CMC_HBCC_RNA_PFC_3017	Br1280
CMC_HBCC_RNA_PFC_3008	Br1139
CMC_HBCC_RNA_PFC_3150	4040296002_A
CMC_HBCC_RNA_PFC_3538	3999495141_R04C01
CMC_HBCC_RNA_PFC_3294	3999495085_R01C01
CMC_HBCC_RNA_PFC_3447	3999514097_R02C01
CMC_HBCC_RNA_PFC_3195	4040296022_A
CMC_HBCC_RNA_PFC_3115	4031091109_A
CMC_HBCC_RNA_PFC_2996	4578977076_R01C01
CMC_HBCC_RNA_PFC_3096	4040296045_A
CMC_HBCC_RNA_PFC_3138	4031091033_A
CMC_HBCC_RNA_PFC_3510	3999514081_R03C01
CMC_HBCC_RNA_PFC_3504	9373408021_R03C01
CMC_HBCC_RNA_PFC_2939	4578969123_R01C01
CMC_HBCC_RNA_PFC_3095	4584656126_R01C01
CMC_HBCC_RNA_PFC_2949	4578969081_R01C01
CMC_HBCC_RNA_PFC_2978	4584656109_R01C01
CMC_HBCC_RNA_PFC_3345	Br1454
CMC_HBCC_RNA_PFC_2969	5421787177_R01C02
CMC_HBCC_RNA_PFC_3291	Br1947
CMC_HBCC_RNA_PFC_3575	3999338098_R04C01
CMC_HBCC_RNA_PFC_3099	5535549007_R01C01
CMC_HBCC_RNA_PFC_3401	4256126291_A
CMC_HBCC_RNA_PFC_2987	Br1740
CMC_HBCC_RNA_PFC_3167	4578951090_R01C01
CMC_HBCC_RNA_PFC_3116	4463344553_R01C02
CMC_HBCC_RNA_PFC_3559	3999495065_R01C01
CMC_HBCC_RNA_PFC_3044	4578969056_R01C01
