0_MSSM_32	MSSM_RNA_PFC_32
0_MSSM_26	MSSM_RNA_PFC_26
0_PITT_970	PITT_RNA_PFC_970
0_MSSM_28	MSSM_RNA_PFC_28
0_MSSM_22	MSSM_RNA_PFC_22
0_MSSM_25	MSSM_RNA_PFC_25
0_MSSM_20	MSSM_RNA_PFC_20
0_PENN_7	PENN_RNA_PFC_7
0_PENN_9	PENN_RNA_PFC_9
0_PENN_4	PENN_RNA_PFC_4
0_PENN_3	PENN_RNA_PFC_3
0_PENN_6	PENN_RNA_PFC_6
0_PENN_5	PENN_RNA_PFC_5
0_MSSM_15	MSSM_RNA_PFC_15
0_MSSM_16	MSSM_RNA_PFC_16
0_MSSM_12	MSSM_RNA_PFC_12
0_MSSM_13	MSSM_RNA_PFC_13
0_PITT_933	PITT_RNA_PFC_933
0_PITT_1583	PITT_RNA_PFC_1583
0_PITT_1581	PITT_RNA_PFC_1581
0_PENN_49	PENN_RNA_PFC_49
0_PENN_51	PENN_RNA_PFC_51
0_PENN_50	PENN_RNA_PFC_50
0_PENN_56	PENN_RNA_PFC_56
0_PENN_59	PENN_RNA_PFC_59
0_PENN_58	PENN_RNA_PFC_58
0_PENN_52	PENN_RNA_PFC_52
0_PENN_55	PENN_RNA_PFC_55
0_PENN_54	PENN_RNA_PFC_54
0_PENN_62	PENN_RNA_PFC_62
0_PENN_61	PENN_RNA_PFC_61
0_PENN_68	PENN_RNA_PFC_68
0_PENN_67	PENN_RNA_PFC_67
0_PENN_69	PENN_RNA_PFC_69
0_PENN_64	PENN_RNA_PFC_64
0_PENN_63	PENN_RNA_PFC_63
0_PENN_66	PENN_RNA_PFC_66
0_PENN_65	PENN_RNA_PFC_65
0_PENN_71	PENN_RNA_PFC_71
0_PENN_70	PENN_RNA_PFC_70
0_PENN_73	PENN_RNA_PFC_73
0_PENN_79	PENN_RNA_PFC_79
0_PENN_78	PENN_RNA_PFC_78
0_PENN_74	PENN_RNA_PFC_74
0_PENN_77	PENN_RNA_PFC_77
0_PENN_76	PENN_RNA_PFC_76
0_PENN_81	PENN_RNA_PFC_81
0_PENN_83	PENN_RNA_PFC_83
0_MSSM_100	MSSM_RNA_PFC_100
0_PENN_80	PENN_RNA_PFC_80
0_MSSM_102	MSSM_RNA_PFC_102
0_MSSM_101	MSSM_RNA_PFC_101
0_MSSM_108	MSSM_RNA_PFC_108
0_PENN_86	PENN_RNA_PFC_86
0_PENN_88	PENN_RNA_PFC_88
0_MSSM_109	MSSM_RNA_PFC_109
0_PENN_87	PENN_RNA_PFC_87
0_PENN_14	PENN_RNA_PFC_14
0_PENN_11	PENN_RNA_PFC_11
0_PENN_17	PENN_RNA_PFC_17
0_PENN_16	PENN_RNA_PFC_16
0_PENN_19	PENN_RNA_PFC_19
0_PENN_18	PENN_RNA_PFC_18
0_PENN_24	PENN_RNA_PFC_24
0_PENN_23	PENN_RNA_PFC_23
0_PENN_20	PENN_RNA_PFC_20
0_PENN_21	PENN_RNA_PFC_21
0_PENN_28	PENN_RNA_PFC_28
0_PENN_27	PENN_RNA_PFC_27
0_PENN_35	PENN_RNA_PFC_35
0_PENN_34	PENN_RNA_PFC_34
0_PENN_31	PENN_RNA_PFC_31
0_PENN_33	PENN_RNA_PFC_33
0_PENN_32	PENN_RNA_PFC_32
0_PENN_39	PENN_RNA_PFC_39
0_PENN_38	PENN_RNA_PFC_38
0_PENN_40	PENN_RNA_PFC_40
0_PENN_46	PENN_RNA_PFC_46
0_PENN_45	PENN_RNA_PFC_45
0_PENN_48	PENN_RNA_PFC_48
0_PENN_42	PENN_RNA_PFC_42
0_PENN_41	PENN_RNA_PFC_41
0_PENN_44	PENN_RNA_PFC_44
0_PENN_43	PENN_RNA_PFC_43
0_MSSM_161	MSSM_RNA_PFC_161
0_MSSM_164	MSSM_RNA_PFC_164
0_MSSM_163	MSSM_RNA_PFC_163
0_MSSM_160	MSSM_RNA_PFC_160
0_MSSM_158	MSSM_RNA_PFC_158
0_MSSM_157	MSSM_RNA_PFC_157
0_MSSM_173	MSSM_RNA_PFC_173
0_MSSM_172	MSSM_RNA_PFC_172
0_MSSM_175	MSSM_RNA_PFC_175
0_MSSM_174	MSSM_RNA_PFC_174
0_MSSM_171	MSSM_RNA_PFC_171
0_MSSM_168	MSSM_RNA_PFC_168
0_MSSM_167	MSSM_RNA_PFC_167
0_MSSM_184	MSSM_RNA_PFC_183
0_MSSM_183	MSSM_RNA_PFC_184
0_MSSM_186	MSSM_RNA_PFC_186
0_MSSM_180	MSSM_RNA_PFC_180
0_MSSM_182	MSSM_RNA_PFC_182
0_MSSM_181	MSSM_RNA_PFC_181
0_MSSM_177	MSSM_RNA_PFC_177
0_MSSM_176	MSSM_RNA_PFC_176
0_MSSM_179	MSSM_RNA_PFC_179
0_MSSM_194	MSSM_RNA_PFC_194
0_MSSM_187	MSSM_RNA_PFC_187
0_MSSM_189	MSSM_RNA_PFC_189
0_MSSM_120	MSSM_RNA_PFC_120
0_MSSM_114	MSSM_RNA_PFC_114
0_MSSM_117	MSSM_RNA_PFC_117
0_MSSM_116	MSSM_RNA_PFC_116
0_MSSM_111	MSSM_RNA_PFC_111
0_MSSM_113	MSSM_RNA_PFC_113
0_MSSM_112	MSSM_RNA_PFC_112
0_MSSM_119	MSSM_RNA_PFC_119
0_MSSM_118	MSSM_RNA_PFC_118
0_MSSM_126	MSSM_RNA_PFC_126
0_MSSM_125	MSSM_RNA_PFC_125
0_MSSM_127	MSSM_RNA_PFC_127
0_MSSM_124	MSSM_RNA_PFC_124
0_MSSM_123	MSSM_RNA_PFC_123
0_MSSM_142	MSSM_RNA_PFC_142
0_MSSM_141	MSSM_RNA_PFC_141
0_MSSM_133	MSSM_RNA_PFC_133
0_MSSM_132	MSSM_RNA_PFC_132
0_MSSM_134	MSSM_RNA_PFC_134
0_MSSM_153	MSSM_RNA_PFC_153
0_MSSM_152	MSSM_RNA_PFC_152
0_MSSM_148	MSSM_RNA_PFC_148
0_MSSM_147	MSSM_RNA_PFC_147
0_MSSM_149	MSSM_RNA_PFC_149
0_MSSM_144	MSSM_RNA_PFC_144
0_MSSM_143	MSSM_RNA_PFC_143
0_PITT_1455	PITT_RNA_PFC_1455
0_PITT_1454	PITT_RNA_PFC_1454
0_PITT_1453	PITT_RNA_PFC_1453
0_PITT_1433	PITT_RNA_PFC_1433
0_PITT_1420	PITT_RNA_PFC_1420
0_Pitt_BP_1449	PITT_RNA_BP_PFC_1449
0_Pitt_BP_1461	PITT_RNA_BP_PFC_1461
0_Pitt_BP_1473	PITT_RNA_BP_PFC_1473
0_Pitt_BP_1482	PITT_RNA_BP_PFC_1482
0_Pitt_BP_1483	PITT_RNA_BP_PFC_1483
0_Pitt_BP_1489	PITT_RNA_BP_PFC_1489
0_Pitt_BP_1403	PITT_RNA_BP_PFC_1403
0_Pitt_BP_1444	PITT_RNA_BP_PFC_1444
0_PITT_1474	PITT_RNA_PFC_1474
0_PITT_1472	PITT_RNA_PFC_1472
